Title,Type,BodyPart,Level,Time,Sets,B_Reps,I_Reps
Hanging knee raise with manual resistance,Strength,Core,Beginner,3,3,10,20
Straight-Legged Hip Raise,Strength,Core,Intermediate,3,3,10,20
Skin The Cat To Push-Up,Strength,Core,Intermediate,3,3,10,20
Partner lying leg raise with lateral throw down,Strength,Core,Beginner,3,3,10,20
Hanging leg raise with throw down,Strength,Core,Beginner,3,3,10,20
Partner sit-up with high-five,Strength,Core,Beginner,3,3,10,20
Exercise ball knee roll-in,Strength,Core,Intermediate,3,3,10,20
Partner lying leg raise with throw down,Strength,Core,Beginner,3,3,10,20
Crab toe-touch,Strength,Core,Intermediate,3,3,10,20
Side kick-through,Strength,Core,Intermediate,3,3,10,20
Partner target sit-up,Strength,Core,Beginner,3,3,10,20
Suspended Crunch,Strength,Core,Beginner,3,3,10,20
Jump Lunge,Strength,Core,Intermediate,3,3,10,20
Side plank hip dip,Strength,Core,Intermediate,1,1,30,60
Elbow plank jack,Strength,Core,Intermediate,1,1,30,60
Exercise ball V-up,Strength,Core,Intermediate,3,3,10,20
Standing torso twist stretch,Strength,Core,Intermediate,3,3,10,20
Bear crawl,Strength,Core,Intermediate,3,3,10,20
Side lunge cross-body heel-touch,Strength,Core,Intermediate,3,3,10,20
Alligator Crawl,Strength,Core,Intermediate,3,3,10,20
Lying cross-over lower back stretch,Strength,Core,Intermediate,3,3,10,20
Shoulder tap,Strength,Core,Intermediate,3,3,10,20
Double crunch,Strength,Core,Intermediate,3,3,10,20
Flutter kick,Strength,Core,Intermediate,3,3,10,20
Sprawl,Strength,Core,Intermediate,3,3,10,20
Spider plank jack,Strength,Core,Intermediate,1,1,30,60
Pillar-To-Plank,Strength,Core,Intermediate,1,1,30,60
Alternating High Knee Raise,Strength,Core,Intermediate,3,3,10,20
Sumo Squat Pulse,Strength,Core,Intermediate,3,3,10,20
Line-Drill Foot Work,Strength,Core,Intermediate,3,3,10,20
Plank Fire Hydrants,Strength,Core,Intermediate,1,1,30,60
Banded jumping jack,Strength,Core,Intermediate,3,3,10,20
Shin hug,Strength,Core,Intermediate,3,3,10,20
FYR Bear Crawl Fire Feet,Strength,Core,Intermediate,3,3,10,20
Bear crawl up-down,Strength,Core,Intermediate,3,3,10,20
FYR Crab Kick,Strength,Core,Intermediate,3,3,10,20
Bear crawl hold,Strength,Core,Intermediate,3,3,10,20
Traveling bear crawl,Strength,Core,Intermediate,3,3,10,20
Single-leg V-up,Strength,Core,Intermediate,3,3,10,20
FYR Bear Crawl Shoulder Tap,Strength,Core,Intermediate,3,3,10,20
Alternating single-leg sprawl,Strength,Core,Intermediate,3,3,10,20
Wide mountain climber,Strength,Core,Intermediate,3,3,10,20
Plank leg raise,Strength,Core,Intermediate,1,1,30,60
Glute bridge step-out,Strength,Core,Intermediate,3,3,10,20
Knee up-down,Strength,Core,Intermediate,3,3,10,20
FYR Sprawl,Strength,Core,Intermediate,3,3,10,20
Reach crunch,Strength,Core,Intermediate,3,3,10,20
FYR Push-Up Plank Hold,Strength,Core,Intermediate,3,3,10,20
FYR Hollow-Body Rock,Strength,Core,Intermediate,3,3,10,20
V-up plus knee-to-chest combo,Strength,Core,Intermediate,3,3,10,20
Side plank lateral raise,Strength,Core,Intermediate,3,3,10,20
Superhero burpee,Strength,Core,Intermediate,3,3,10,20
Hollow-body abduction,Strength,Core,Intermediate,3,3,10,20
FYR Hollow Hold,Strength,Core,Intermediate,3,3,10,20
Tip-toe crunch,Strength,Core,Intermediate,3,3,10,20
Knee-to-nose pulse,Strength,Core,Intermediate,3,3,10,20
Plank walk-out,Strength,Core,Intermediate,1,1,30,60
FYR V-Up,Strength,Core,Intermediate,3,3,10,20
Long sit-up,Strength,Core,Intermediate,3,3,10,20
FYR Breakdancer,Strength,Core,Intermediate,3,3,10,20
Seated leg lift,Strength,Core,Intermediate,3,3,10,20
Gorilla burpee,Strength,Core,Intermediate,3,3,10,20
